activity,link,name,description,website,turnover,address,phone,email
Industrial,https://panel-empresarial.institutofomentomurcia.es/IFM-panel-directorio/directorio/view/23227," MERCADONA, S.A.
","
47.11 - Comercio al por menor en establecimientos no especializados, con predominio en productos alimenticios, bebidas y tabaco
",http://www.mercadona.es,"
24.649.629.000,00 €
","https://maps.google.es/maps?t=m&&ie=UTF8&q=de la Fama 17,30006 Murcia Murcia",,abelen1@mercadona.es
Industrial,https://panel-empresarial.institutofomentomurcia.es/IFM-panel-directorio/directorio/view/23273," EL CORTE INGLÉS, S.A.
","
47.19 - Otro comercio al por menor en establecimientos no especializados
",http://www.elcorteingles.es,"
11.672.424.000,00 €
","https://maps.google.es/maps?t=m&&ie=UTF8&q=San Antón 52,30205 Cartagena Murcia",,clientes@elcorteingles.es
Industrial,https://panel-empresarial.institutofomentomurcia.es/IFM-panel-directorio/directorio/view/4884," TELEFÓNICA, S.A.
","
64.20 - Actividades de las sociedades holding
",http://www.telefonica.es,"
10.807.000.000,00 €
","https://maps.google.es/maps?t=m&&ie=UTF8&q=San Antón 4,30005 Murcia Murcia",,victor.carrillomartinez@telefonica.com
Industrial,https://panel-empresarial.institutofomentomurcia.es/IFM-panel-directorio/directorio/view/23220," CENTROS COMERCIALES CARREFOUR, S.A.
","
47.11 - Comercio al por menor en establecimientos no especializados, con predominio en productos alimenticios, bebidas y tabaco
",http://www.carrefour.es,"
8.491.008.000,00 €
","https://maps.google.es/maps?t=m&&ie=UTF8&q=Alfonso XIII s/n,30203 Cartagena Murcia",,
Industrial,https://panel-empresarial.institutofomentomurcia.es/IFM-panel-directorio/directorio/view/25433," TELEFÓNICA DE ESPAÑA, S.A.U.
","
61.10 - Telecomunicaciones por cable
",http://www.telefonica.es,"
8.099.830.000,00 €
","https://maps.google.es/maps?t=m&&ie=UTF8&q=San Antón 4,30009 Murcia Murcia",,joseluis.lanzarotegomez@telefonica.com
Industrial,https://panel-empresarial.institutofomentomurcia.es/IFM-panel-directorio/directorio/view/46431," LIDL SUPERMERCADOS, S.A.U.
","
47.11 - Comercio al por menor en establecimientos no especializados, con predominio en productos alimenticios, bebidas y tabaco
",http://www.lidl.es,"
4.443.165.000,00 €
","https://maps.google.es/maps?t=m&&ie=UTF8&q=El Saladar II. C/Pontevedra. 7,30564 Lorquí Murcia",,bernabe.munoz@lidl.es
Industrial,https://panel-empresarial.institutofomentomurcia.es/IFM-panel-directorio/directorio/view/5024," IBERDROLA, S.A.
","
64.20 - Actividades de las sociedades holding
",http://www.iberdrola.es,"
2.880.000.000,00 €
","https://maps.google.es/maps?t=m&&ie=UTF8&q=De los Pinos 7,30009 Murcia Murcia",,
Industrial,https://panel-empresarial.institutofomentomurcia.es/IFM-panel-directorio/directorio/view/88099," BUNGE IBERICA S.A.U.
","
46.21 - Comercio al por mayor de cereales, tabaco en rama, simientes y alimentos para animales
",,"
2.811.423.000,00 €
","https://maps.google.es/maps?t=m&&ie=UTF8&q=A MUELLE ESPIGÓN SURESTE, FRENTE 10 ,30350 Cartagena Murcia",,diego.fernandez@bunge.com
Industrial,https://panel-empresarial.institutofomentomurcia.es/IFM-panel-directorio/directorio/view/24853," VIAJES EL CORTE INGLÉS, S.A.
","
79.11 - Actividades de las agencias de viajes
",http://www.viajeselcorteingles.es,"
2.471.165.156,00 €
","https://maps.google.es/maps?t=m&&ie=UTF8&q=Juan Carlos I 12,30008 Murcia Murcia",,comercial_mjv@viajeseci.es
Industrial,https://panel-empresarial.institutofomentomurcia.es/IFM-panel-directorio/directorio/view/23296," DISTRIBUIDORA INTERNACIONAL DE ALIMENTACIÓN, S.A.
","
47.11 - Comercio al por menor en establecimientos no especializados, con predominio en productos alimenticios, bebidas y tabaco
",http://www.dia.es,"
2.259.045.000,00 €
","https://maps.google.es/maps?t=m&&ie=UTF8&q=de Madrid s/n,30290 Cartagena Murcia",,
Industrial,https://panel-empresarial.institutofomentomurcia.es/IFM-panel-directorio/directorio/view/74745," HAMILTON LEÓN, S.L.
","
41.10 - Promoción inmobiliaria
",,"
678.066,81 €
","https://maps.google.es/maps?t=m&&ie=UTF8&q=De Cervantes.  60,30800 Lorca Murcia",,
Industrial,https://panel-empresarial.institutofomentomurcia.es/IFM-panel-directorio/directorio/view/61063," PETRO CATAGUAS, S.L.
","
47.30 - Comercio al por menor de combustible para la automoción en establecimientos especializados
",,"
677.771,00 €
","https://maps.google.es/maps?t=m&&ie=UTF8&q=de Mula ,30562 Ceutí Murcia",,
